"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/1999","281.90","282.50","282.80","280.60","46.20K","-2.52%"
"02/01/1999","289.20","288.50","292.60","285.00","426.47K","0.35%"
"01/01/1999","288.20","294.00","294.00","284.00","77.94K","-0.69%"
"12/01/1998","290.20","295.30","299.50","286.50","445.97K","-1.66%"
"11/01/1998","295.10","294.50","300.00","294.00","85.51K","0.14%"
"10/01/1998","294.70","299.10","306.90","292.00","645.84K","-1.44%"
"09/01/1998","299.00","298.00","299.90","295.40","70.23K","7.71%"
"08/01/1998","277.60","288.60","292.40","273.80","56.33K","-3.74%"
"07/01/1998","288.40","296.50","296.50","287.60","8.31K","-3.61%"
"06/01/1998","299.20","295.40","301.60","285.60","631.78K","1.39%"
"05/01/1998","295.10","294.50","297.00","294.30","68.39K","-4.50%"
"04/01/1998","309.00","303.30","317.00","301.20","577.80K","1.88%"
"03/01/1998","303.30","301.90","305.60","294.30","46.01K","0.76%"
"02/01/1998","301.00","304.60","310.00","291.80","392.64K","-1.18%"
"01/01/1998","304.60","286.00","309.00","280.00","84.05K","4.78%"
"12/01/1997","290.70","298.50","299.10","283.30","502.60K","-2.65%"
"11/01/1997","298.60","318.00","318.00","297.00","73.87K","-4.66%"
"10/01/1997","313.20","336.60","342.10","308.00","824.09K","-7.03%"
"09/01/1997","336.90","329.00","337.90","328.30","142.33K","3.22%"
"08/01/1997","326.40","326.70","331.40","319.00","53.67K","-0.03%"
"07/01/1997","326.50","334.00","334.00","317.50","4.07K","-2.97%"
"06/01/1997","336.50","347.30","347.60","337.50","394.51K","-3.17%"
"05/01/1997","347.50","347.40","350.40","346.50","63.84K","1.49%"
"04/01/1997","342.40","354.30","355.10","339.50","427.92K","-3.28%"
"03/01/1997","354.00","356.00","356.00","347.50","62.14K","-3.33%"
"02/01/1997","366.20","346.30","367.00","338.50","591.26K","5.84%"
"01/01/1997","346.00","352.00","353.00","345.40","95.88K","-6.56%"
"12/01/1996","370.30","373.90","376.10","367.70","369.72K","-1.25%"
"11/01/1996","375.00","376.60","377.30","374.50","0.40K","-1.34%"
"10/01/1996","380.10","380.80","386.50","379.00","416.48K","-0.11%"
"09/01/1996","380.50","383.30","383.70","380.10","57.31K","-2.76%"
"08/01/1996","391.30","390.50","393.50","388.00","62.12K","0.20%"
"07/01/1996","390.50","384.00","391.20","383.80","5.73K","1.98%"
"06/01/1996","382.90","394.50","394.70","384.60","448.29K","-2.92%"
"05/01/1996","394.40","394.20","395.50","393.10","32.30K","-0.08%"
"04/01/1996","394.70","398.60","401.00","391.50","519.22K","-0.93%"
"03/01/1996","398.40","399.60","403.60","396.90","88.04K","-1.02%"
"02/01/1996","402.50","409.20","420.20","397.50","813.74K","-1.47%"
"01/01/1996","408.50","397.20","410.40","396.30","107.41K","4.99%"
"12/01/1995","389.10","388.70","392.40","386.60","315.83K","0.13%"
"11/01/1995","388.60","384.60","390.40","382.70","61.54K","0.86%"
"10/01/1995","385.30","386.20","388.70","382.60","310.44K","-0.31%"
"09/01/1995","386.50","383.30","388.40","382.70","26.04K","0.26%"
"08/01/1995","385.50","385.70","393.00","383.00","35.69K","0.03%"
"07/01/1995","385.40","386.90","391.90","384.80","7.38K","-0.49%"
"06/01/1995","387.30","387.60","395.00","386.30","446.42K","-0.08%"
"05/01/1995","387.60","391.50","392.60","385.30","58.96K","-0.64%"
"04/01/1995","390.10","395.10","401.20","387.50","473.31K","-1.07%"
"03/01/1995","394.30","377.70","402.00","377.70","92.42K","3.82%"
"02/01/1995","379.80","378.70","382.40","376.30","335.19K","0.56%"
"01/01/1995","377.70","382.90","387.10","374.10","52.75K","-2.25%"
"12/01/1994","386.40","383.70","386.40","377.70","363.81K","0.49%"
"11/01/1994","384.50","387.40","389.10","383.70","80.71K","-0.54%"
"10/01/1994","386.60","396.20","399.80","386.60","507.83K","-2.77%"
"09/01/1994","397.60","389.80","399.70","389.80","47.41K","2.13%"
"08/01/1994","389.30","386.90","391.70","377.10","34.68K","0.83%"
"07/01/1994","386.10","389.60","390.90","385.00","4.13K","-0.69%"
